"date";"bank";"account";"number";"mode";"payee";"comment";"quantity";"unit";"amount";"sign";"category";"status";"tracker";"bookmarked";"id";"idtransaction";"idgroup"
"2022-11-10";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 081122 ESCOTA, 4 PAIEM MANDELIEU LA    CARTE   4974********4225";"-12.80";"€";"-12.80";"-";"Automobile > Péage";"Y";"";"N";"62";"62";"0"
"2022-11-10";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 091122 MERCHANT          14 PARIS 14     CARTE   4974********4225";"-14.75";"€";"-14.75";"-";"Maison > Ménage";"Y";"";"N";"63";"63";"0"
"2022-11-10";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 091122 MERCHANT   4974********4225                NLD";"-20.59";"€";"-20.59";"-";"Alimentation > Restaurant";"Y";"";"N";"64";"64";"0"
"2022-11-10";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 091122 MERCHANT          14 PARIS 14     CARTE   4974********4225";"-42.50";"€";"-42.50";"-";"Maison > Ménage";"Y";"";"N";"65";"65";"0"
"2022-11-14";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 111122 MERCHANT       CARTE   4974********4225";"-5.80";"€";"-5.80";"-";"Alimentation > Restaurant";"Y";"";"N";"66";"66";"0"
"2022-11-14";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 121122 MERCHANT     LOCATION_001         CARTE   4974********4225";"-6.10";"€";"-6.10";"-";"Alimentation > Restaurant";"Y";"";"N";"67";"67";"0"
"2022-11-14";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 101122 MERCHANT       CARTE   4974********4225";"-9.40";"€";"-9.40";"-";"Alimentation > Restaurant";"Y";"";"N";"68";"68";"0"
"2022-11-14";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 111122 MERCHANT      CARTE   4974********4225                LUX";"-10.46";"€";"-10.46";"-";"Soins > Esthétique";"Y";"";"N";"69";"69";"0"
"2022-11-14";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 111122 MERCHANT     LOCATION_001         CARTE   4974********4225";"-14.30";"€";"-14.30";"-";"Alimentation > Restaurant";"Y";"";"N";"70";"70";"0"
"2022-11-14";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 111122 MERCHANT      PARIS           CARTE   4974********4225";"-21.35";"€";"-21.35";"-";"Soins > Esthétique";"Y";"";"N";"71";"71";"0"
"2022-11-14";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 131122 MERCHANT       CARTE   4974********4225";"-58.61";"€";"-58.61";"-";"Alimentation > Supermarché";"Y";"";"N";"72";"72";"0"
"2022-11-17";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 161122 MERCHANT       CARTE   4974********4225";"-13.30";"€";"-13.30";"-";"Alimentation > Restaurant";"Y";"";"N";"73";"73";"0"
"2022-11-18";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 171122 MERCHANT   *EATS    CARTE   4974********4225                NLD";"-23.79";"€";"-23.79";"-";"Alimentation > Restaurant";"Y";"";"N";"74";"74";"0"
"2022-11-21";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 181122 ESCOTA, 2 PAIEM MANDELIEU LA    CARTE   4974********4225";"-6.40";"€";"-6.40";"-";"Automobile > Péage";"Y";"";"N";"75";"75";"0"
"2022-11-21";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 201122 MERCHANT       CARTE   4974********4225";"-22.50";"€";"-22.50";"-";"Alimentation > Restaurant";"Y";"";"N";"76";"76";"0"
"2022-11-22";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 211122 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-3.20";"€";"-3.20";"-";"Automobile > Péage";"Y";"";"N";"77";"77";"0"
"2022-11-22";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 211122 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-3.20";"€";"-3.20";"-";"Automobile > Péage";"Y";"";"N";"78";"78";"0"
"2022-11-22";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 211122 MERCHANT     LOCATION_001         CARTE   4974********4225";"-9.70";"€";"-9.70";"-";"Alimentation > Restaurant";"Y";"";"N";"79";"79";"0"
"2022-11-24";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 231122 MERCHANT       CARTE   4974********4225";"-13.30";"€";"-13.30";"-";"Alimentation > Restaurant";"Y";"";"N";"80";"80";"0"
